"AnnoncesJaunes";"1";"26/06/2014";"c194cb8a-cdfc-e311-a2a5-5cf3fc6a23ca";"7KMS LA FERTE MILON";"02460";"2";"400";":saut ligne::saut paragraphe:			45mn Roissy CDG, 15mn Villers Cotterêts, proche la Ferté Milon, maison de village avec séjour coin cuisine, 1 chambre, salle de douches wc. Libre de suite. Honoraires agence &euro:point virgule: 312.";"	Location Maison  ?kms la ferte milon (02460)  40 m²  ?00 € - Agence Centrale";"PROFESSIONNEL";"";"http://media1.annoncesjaunes.fr/Files/Images/20140626/C194CB8A-CDFC-E311-A2A5-5CF3FC6A23CA_7410A87D-78D8-4800-8C93-434DB5ED40EC_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/151/location/maison/7kms-la-ferte-milon/c194cb8a-cdfc-e311-a2a5-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"b7b5b21a-0215-e311-9ab4-5cf3fc6a23ca";"LAON";"02000";"3";"460";":saut ligne::saut paragraphe:			A louer à LAON. A proximité de tout ce qui facilite le quotidien, la résidence « Les Templiers » vous propose cet agréable T2bis comprenant un séjour ouvert sur balcon, une cuisine, une salle de bains aménagée, une chambre, un bureau ou une chambre d'enfant et des placards intégrés aménagés dans l'entrée. Place de parking privative. Employé d'immeuble et portail automatique. BELVIA Immobilier. - Dépôt de garantie : 393€:point virgule:référence annonceur : 2575276";"	Location Appartement  ?aon (02000)  54 m²  ?60 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media4.annoncesjaunes.fr/Files/Images/20130904/B7B5B21A-0215-E311-9AB4-5CF3FC6A23CA_FFCD2E72-8F97-40F6-AD06-1A0737B80798_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/109/location/appartement/laon/b7b5b21a-0215-e311-9ab4-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"7781f809-a084-e311-a30d-5cf3fc6a23ca";"SOISSONS";"02200";"2";"540";":saut ligne::saut paragraphe:			A louer à SOISSONS. A proximité de tout ce qui facilite le quotidien, «Danton» est entièrement engazonné. Elle vous propose cet appartement T2 comprenant une cuisine semi équipée avec plaques de cuisson et frigo, un séjour ouvert sur balcon, une salle de bains aménagée, 1 chambre et des placards aménagés dans l'entrée. BELVIA Immobilier. - Dépôt de garantie : 490€:point virgule:référence annonceur : 2801869";"	Location Appartement  ?oissons (02200)  47 m²  ?40 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media4.annoncesjaunes.fr/Files/Images/20140124/7781F809-A084-E311-A30D-5CF3FC6A23CA_C51A0799-481E-44D6-AA75-BA7736AB73A8_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/129/location/appartement/soissons/7781f809-a084-e311-a30d-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"676a93cc-62c7-e311-a2a5-5cf3fc6a23ca";"ST QUENTIN";"02100";"2";"410";":saut ligne::saut paragraphe:			A louer à ST QUENTIN. La RESIDENCE DU MARAIS D'ISLE se situe à 2 pas du centre ville de St Quentin. T2 avec cuisine semi équipée, carrelage dans toutes les pièces sauf dans la chambre, nombreux placards, parking privatif. Interphone. BELVIA Immobilier. - Dépôt de garantie : 363€:point virgule:référence annonceur : 5646163";"	Location Appartement  ?t quentin (02100)  45 m²  ?10 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media3.annoncesjaunes.fr/Files/Images/20140419/676A93CC-62C7-E311-A2A5-5CF3FC6A23CA_EC309F1B-31BF-4CCE-8632-F7874E1E0818_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/141/location/appartement/st-quentin/676a93cc-62c7-e311-a2a5-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"0eb78a06-8c46-e311-9ab4-5cf3fc6a23ca";"ST LAURENT SUR SAONE";"01750";"1";"369";":saut ligne::saut paragraphe:			* UN MOIS DE LOYER OFFERT. Proche des berges de la Saône, dans résidence calme et sécurisée, joli T1 composé d'un séjour donnant sur balcon,  salle de bains aménagée, 1 place de parking, chauffage individuel. BELVIA Immobilier. * Offre non cumulable, réservée aux particuliers, valable pour tout bail signé et entrée effective dans les lieux avant le 31/12/14 inclus. Liste des logements concernés par l'offre disponible sur demande. Sous réserve des stocks disponibles. Voir conditions en agence. - Dépôt de garantie : 335€:point virgule:référence annonceur : 3217199";"	Location Appartement  ?t laurent sur saone (01750)  29 m²  ?69 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media4.annoncesjaunes.fr/Files/Images/20131106/0EB78A06-8C46-E311-9AB4-5CF3FC6A23CA_33613C94-E5BF-48A8-ABAA-1D3E9856B089_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/118/location/appartement/st-laurent-sur-saone/0eb78a06-8c46-e311-9ab4-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"4c193bb5-d683-e311-a30d-5cf3fc6a23ca";"ST QUENTIN";"02100";"1";"360";":saut ligne::saut paragraphe:			A louer à ST QUENTIN. LA RESIDENCE DU MARAIS D'ISLE se situe à 2 pas du centre ville de St Quentin. T1 avec cuisine semi équipée, carrelage dans toutes les pièces, nombreux placards, parking privatif. Interphone. BELVIA Immobilier. - Dépôt de garantie : 340€:point virgule:référence annonceur : 4494546";"	Location Appartement  ?t quentin (02100)  27 m²  ?60 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media2.annoncesjaunes.fr/Files/Images/20140123/4C193BB5-D683-E311-A30D-5CF3FC6A23CA_1CA7AC36-BDFD-4A45-92B4-983D539E41CC_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/129/location/appartement/st-quentin/4c193bb5-d683-e311-a30d-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"535b517a-4c6c-e311-a30d-5cf3fc6a23ca";"SAINT QUENTIN";"02100";"2";"340";":saut ligne::saut paragraphe:			Appartement F2 meublé en rez de chaussée comprenant une pièce principale avec coin cuisine, 1 chambre, salle de bains, wc, ch élec.. Charges comprises:provision d eau+taxes ménagères + communs ";"	Location Appartement  ?aint quentin (02100)  23 m²  ?40 € - ORPI BERNOVILLE IMMOBILIER";"PROFESSIONNEL";"";"http://media4.annoncesjaunes.fr/Files/Images/20131224/535B517A-4C6C-E311-A30D-5CF3FC6A23CA_B90507D9-C1F2-41A1-BF98-20881448284B_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/151/location/appartement/saint-quentin/535b517a-4c6c-e311-a30d-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"9254e098-49f8-df11-b4a4-001517782573";"BELLIGNAT";"01100";"3";"399";":saut ligne::saut paragraphe:			Proche OYONNAX: bel appartement T2 bis dans un environnement calme et sécurisé, il se compose d'un séjour ouvrant sur balcon, cuisine individuelépendante, chambre avec rangements + bureau, salle de bain, WC.  Chauff individuel elec.  Place de parking privatives. BELVIA Immobilier. - Dépôt de garantie : 350€:point virgule:référence annonceur : 2574980";"	Location Appartement  ?ellignat (01100)  53 m²  ?99 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media1.annoncesjaunes.fr/Files/Images/20101125/9254E098-49F8-DF11-B4A4-001517782573_634C1DF0-6D94-4DA3-932A-1559443F1054_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/83/location/appartement/bellignat/9254e098-49f8-df11-b4a4-001517782573.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"e8af8161-1a48-e311-9ab4-5cf3fc6a23ca";"ST QUENTIN";"02100";"3";"510";":saut ligne::saut paragraphe:			A louer à ST QUENTIN. Le Vieux Port se situe à proximité des commodités (commerces, gare SNCF, transports urbains et ramassages scolaires) et à 200m du Port de Plaisance. Agréable T2bis comprenant un séjour ouvert sur balcon, un coin cuisine équipé (plaque de cuisson et frigo), une salle de bains faïencée aménagée, une chambre et un bureau, et de nombreux rangements. Vous disposerez d'un garage individuel. La résidence est équipée d'un portail électrique à télécommande, antennes collectives, volets roulants. BELVIA Immobilier. - Dépôt de garantie : 470€:point virgule:référence annonceur : 3129136";"	Location Appartement  ?t quentin (02100)  58 m²  ?10 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media4.annoncesjaunes.fr/Files/Images/20131108/E8AF8161-1A48-E311-9AB4-5CF3FC6A23CA_874F3330-7A9A-4D84-A956-65F04117F8AC_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/118/location/appartement/st-quentin/e8af8161-1a48-e311-9ab4-5cf3fc6a23ca.html";"";""
"AnnoncesJaunes";"1";"26/06/2014";"5a6a93cc-62c7-e311-a2a5-5cf3fc6a23ca";"ST QUENTIN";"02100";"2";"450";":saut ligne::saut paragraphe:			A louer à ST QUENTIN. Dans un cadre de verdure la résidence du Vieux Port se situe à proximité des commodités (commerces, gare SNCF, transports urbains et ramassages scolaires) et à 200m du Port de Plaisance. Agréable T2 comprenant un séjour ouvert sur balcon, un coin cuisine équipé (plaque de cuisson et frigo), une salle de bains faïencée aménagée, une chambre, et de nombreux rangements. Garage individuel. La résidence est équipée d'un portail électrique à télécommande, antennes collectives, volets roulants. BELVIA Immobilier. - Dépôt de garantie : 415€:point virgule:référence annonceur : 3078383";"	Location Appartement  ?t quentin (02100)  46 m²  ?50 € - BELVIA IMMOBILIER";"PROFESSIONNEL";"";"http://media4.annoncesjaunes.fr/Files/Images/20140419/5A6A93CC-62C7-E311-A2A5-5CF3FC6A23CA_75B7046D-7CC7-4DE9-AF24-6C39BDC8C32C_Zoom.jpg";"http://www.annoncesjaunes.fr/annonce-immobilier/141/location/appartement/st-quentin/5a6a93cc-62c7-e311-a2a5-5cf3fc6a23ca.html";"";""
